id,context,utterance,implicature,implicature2
16861,Are you busy tonight?,It's my uncle's birthday.,1,Yes
16862,Are you living here in town?,I only get in once a year.,0,No
16863,Are you heading out on the town?,I'm feeling too tired.,0,No
16864,Did you remember an umbrella?,Unfortunately I left mine in a cab.,0,No
16865,Can you deal with the commute?,I will get used to it,1,Yes
16866,Do you  have any kids?,I find kids annoying.,0,No
16867,Are you wanting to move into the capital?,I don't want to live in the capital.,0,No
16868,Have you read Stephen King?,I've caught of few movies based on his books.,0,No
16869,Do you enjoy fine dining?,I prefer casual restaurants.,0,No
16870,Is true crime too scary for you?,I prefer happy endings.,1,Yes
16871,Do you play any sports?,I haven't played any sports.,0,No
16872,Do you want something spicy?,I'm open to it.,1,Yes
16873,Are you lactose intolerant?,I can eat dairy.,0,No
16874,Are you unhappy at your current job?,I've never been happier.,0,No
16875,Did you ever go to college or university?,I went right to work at my dad's business after high school.,0,No
16876,Would you want to go for a walk downtown?,I haven't seen downtown in ages - let me get my coat.,1,Yes
16877,Do you enjoy art?,I'm an artist.,1,Yes
16879,Do you like working out?,Staying active keeps me happy.,1,Yes
16881,Do you live here?,I live down the street.,1,Yes
16882,Is your family ok?,They're thriving.,1,Yes
16883,Did you have a good workday?,It was quite good,1,Yes
16884,Have you heard the latest Selena Gomez song?,I love that song!,1,Yes
16885,Do you like Michael Buble?,Michael's music is not my speed.,0,No
16886,Do you have any plans for this weekend?,We have a family reunion.,1,Yes
16888,Have you ever try Asian food?,Only Chinese.,1,Yes
16889,Will you be joining any book clubs?,I can't take the time right now.,0,No
16890,Do you like Romance Novels?,I don't like to read romance.,0,No
16891,Have you been living here all this time?,I only just moved back last month.,0,No
16892,Would you like to watch a show?,Watching a show sounds good.,1,Yes
16893,Have you ever been to a rock concert?,I went to my first one when I was 16.,1,Yes
16894,Do you like eating out?,I love it.,1,Yes
16895,Did you start your job a long time ago?,I started fresh out of college ten years ago.,1,Yes
16896,Are you a manager of people?,I work best alone.,0,No
16897,Is karaoke something you enjoy?,I'd rather go to a concert.,0,No
16898,Do you work too much?,I think I do at times,1,Yes
16899,Do you like to grill out in the summer?,Nothing like a good barbecue party.,1,Yes
16900,Want to work for another company?,I'm more interested in switching locations.,0,No
16902,Have you seen the new Frozen movie?,My niece told me I should.,0,No
16903,Are you gluten intolerant?,I can eat anything,0,No
16904,Do you like clubs?,I'm too old to endure watered-down drinks while being crushed by flailing dancers.,0,No
16905,Are you married?,I was until a year ago,0,No
16907,Do you enjoy your job?,I love my job.,1,Yes
16908,Do you program code?,I have never tried.,0,No
16909,Do you prefer to be active?,I'm a bit of a sedentary person.,0,No
16910,Do you like to go to the movie theatre?,I often go on date night with my boyfriend.,1,Yes
16911,Did you have nice bosses?,My boss is a huge pain.,0,No
16913,Have you seen my new place before?,I'm excited to take a look around.,0,No
16914,Are you getting a flat in the city?,If I can afford it.,1,Yes
16915,Do you like Country side?,I'm more of a city person.,0,No
16916,Did you go to live gigs regularly?,Not since my college days.,0,No
16917,Do you like anime music?,I'm not a fan really,0,No
16918,Would you like to join me for a beer?,Let's go to the new pub.,1,Yes
16919,Do your folks still live it the same place?,they sold that house years ago.,0,No
16920,Is there anything you absolutely won't eat?,I would not eat sprouts,1,Yes
16921,Do you like self-help books?,It really depends on the topic.,1,Yes
16922,Are you still playing the guitar?,I gave it up.,0,No
16923,Did you just make this decision?,I've been thinking about it for a while.,0,No
16924,Do you like crime and mystery?,I love books that keep you guessing up until the final page.,1,Yes
16925,"I have a great collection of books, want to borrow any of them?",I'll read a few of them,1,Yes
16926,Will you have enough room for your pets?,The flat is spacious enough to grow into.,1,Yes
16927,Would you like to join me for some coffee?,I've got to catch a train.,0,No
16928,Have you ever tried Indian food?,I lived in India and ate the cuisine.,1,Yes
16929,Have you stayed in touch with anyone from school?,Only a few people.,1,Yes
16930,Are you into gardening?,I would rather be indoors,0,No
16931,Are you looking for roommates?,I'm living alone from now on.,0,No
16932,Do you like Lord of The Rings?,It was too long and boring.,0,No
16933,Do you have a house?,I'm renting.,1,Yes
16934,Got any fun weekend plans?,Just the cinema,1,Yes
16935,Can we go for a walk?,I'd like to lie down.,0,No
16936,Have you tried that new Thai restaurant on the high street ?,I have a severe peanut allergy.,0,No
16938,Do you like Lord of The Rings?,I thought it was boring.,0,No
16939,Do you have a library card?,I'm so glad they are free now.,1,Yes
16940,Are you interested in non-fiction?,History books are great.,1,Yes
16942,Did you recognise me straight away?,It took me a minute.,0,No
16943,Did you move out of the neighborhood?,I've always lived here.,0,No
16944,Does your background match up well with the new job?,I am perfect for the role.,1,Yes
16945,Is your work physically demanding?,My position required that I sit in front of computer all day.,0,No
16946,Have you given many presentations?,I am too scared.,0,No
16947,Did you start going to open houses?,I've been to a few open houses.,1,Yes
16948,Did you play an instrument in high school?,I was always top chair.,1,Yes
16949,Are you living here?,I'm just staying with my parent at the moment.,1,Yes
16950,Are you living in the city now?,I live out in the suburbs,0,No
16951,Are you making more than 80 thousand dollars a year?,"I'm making $85,000 yearly.",1,Yes
16952,Do you enjoy mowing the lawn?,Only when it's nice outside.,1,Yes
16953,Did you have a favorite teacher when you where in elementary school?,I had the same teacher all three years.,1,Yes
16954,Did it take you long to get here?,My flight was delayed twice.,1,Yes
16955,Do you like to spend your weekends at home?,Only after I've finished running errands.,1,Yes
16956,Are you headed home?,I will go straight to yoga.,0,No
16957,Are you single?,I'm divorced.,1,Yes
16958,Would you like to have a bar-b-que?,"Anything involving food, I'd love.",1,Yes
16959,Did you have a good flight?,"The plane was pretty empty, so it was great.",1,Yes
16961,Do you have a pet?,I have a chinchilla.,1,Yes
16962,Did you get a chance to finish the work emails?,I'm taking my laptop home.,0,No
16963,Want to take a roadtrip on Friday?,If I didn't have to work my second job I would.,0,No
16964,Are you interested in going to a Brazilian steakhouse?,I would be interested,1,Yes
16965,Are you heading to work?,"We're leaving, Steve.",0,No
16966,Do you enjoy spending time outside?,More than anything.,1,Yes
16967,Do you like football?,I love watching a good offense.,1,Yes
16968,Would you want to go for a walk downtown?,If it isn't too far.,1,Yes
16969,Is a good plot important?,That's the most important component.,1,Yes
16970,Are you living near here these days?,We are 5 minutes from here.,1,Yes
16971,Do you need a separate office?,It would be nice to have but not necessary.,0,No
16972,Do you spend your time behind a computer screen?,All day,1,Yes
16973,Did you bring everything you need?,I need to stop somewhere to buy a toothbrush.,0,No
16974,Do you like karaoke?,"I enjoy karaoke, but I'm not very good at singing.",1,Yes
16975,Do you like to attend concerts?,"If they are pop music, but not country.",1,Yes
16976,Will a good meal be a good idea?,I need some healthy food after my trip.,1,Yes
16977,Do you need a ride?,I can take the bus.,0,No
16978,Did you ever play in the band in high school?,I was in marching band.,1,Yes
16979,Do you want to stay in this neighborhood?,I think I would like to,1,Yes
16980,Is your company private?,"It is for right now, but it may be publicly traded son.",1,Yes
16981,Is the new job full time?,I didn't consider any other type of schedule.,1,Yes
16982,Want to exchange numbers and stay in touch?,Give me your number.,1,Yes
16983,Have you got any plans tonight?,I'm watching that new TV show.,1,Yes
16984,Would you like a building with a doorman?,I'd have to have one.,1,Yes
16985,Do you like children books?,They're my favorite.,1,Yes
16986,While you're in town do you want to go see a game of American football?,If we can get cheap tickets.,1,Yes
16987,Would you like something hot?,I prefer spicy to mild.,1,Yes
16988,Are you into outdoor hobbies?,"I often go camping, hiking and off-road biking.",1,Yes
16990,Do you play any instruments?,I'm on the way to tuba lessons right now.,1,Yes
16991,Have you been well over the years?,Life has been kind to me.,1,Yes
16992,Are you single?,My wife and I met last summer.,0,No
16993,Would you say your job is meaningful?,It serves a great purpose.,1,Yes
16994,Are you into EDM?,I like British EDM the most.,1,Yes
16995,Are going shopping?,I need to find a dress by 7pm!,1,Yes
16996,Do you like sci fi?,I wish I could read more Star Trek.,1,Yes
16997,Do you have any pets?,I have a python and a tortoise.,1,Yes
16998,Would you like to go see a movie?,I would love to,1,Yes
16999,Did you want to borrow my copy of Shakespeare's Titus Andronicus?,"I could bring it back next week., thanks.",1,Yes
17000,Would you like to join the rally this weekend?,Sounds like fun,1,Yes
17001,Are you open to having roommates that you rent to?,I'd rather not anymore.,0,No
17002,Do you want to try something new?,I want something more glamorous.,1,Yes
17003,Have any weekend plans?,I'm going to a basketball game.,1,Yes
17004,Are you still planning to retire next year?,I am too broke.,0,No
17005,Do you plan on going home?,I have an early day tomorrow so I should.,1,Yes
17006,Is the flat move-in ready?,It's ready to go.,1,Yes
17007,Do you drive to work?,Depends on the traffic.,1,Yes
17008,Do you want to travel somewhere?,Let's go downtown.,1,Yes
17009,Do you work with kids?,There are often kids there.,1,Yes
17010,Will you be living here by yourself?,I have 3 dogs too.,0,No
17011,Do you like Harry Potter?,I've never read any Harry Potter books.,0,No
17012,Do you prefer to eat healthy food?,I always go for fast food.,0,No
17013,Are you going to see family this weekend?,My parents and sisters.,1,Yes
17014,Do you read newspapers?,I read all kinds of periodicals.,1,Yes
17015,Do you have any plans this evening?,I am putting my feet up.,0,No
17016,Have you moved since we last met?,I've moved a couple times since then.,1,Yes
17017,Is that your car I saw?,I don't drive.,0,No
17018,Would you be interested in a job related to customer service?,I hate interacting with clients.,0,No
17019,Do you know what time you have to leave to head back home yet?,I should be able to stay till Tuesday.,1,Yes
17020,Do you have a date?,I'll be with my sister.,0,No
17021,Do you want to see a movie later?,Going to the cinema is one of my favourite leisure activities. i,1,Yes
17022,Will you be working tomorrow?,I guess I'll see you then,1,Yes
17023,Are you a fan of Drake's music?,I have never checked him out.,0,No
17024,Do you have family from around here?,I'm much happier 2000 miles away from them.,0,No
17025,Will you work on the weekends?,I prefer not to,0,No
17026,Are you buying to rent?,Only if I relocate for work.,1,Yes
17027,Have you given many presentations?,I'm required to give presentations every week.,1,Yes
17028,Was your flight nonstop?,It had one layover.,0,No
17029,Have you ever heard merengue music?,I heard it in a Latin film.,1,Yes
17030,You miss things around here?,I miss the ice cream shop.,1,Yes
17031,Do you have house chores to do this weekend?,I have a few things to do,1,Yes
17032,Do you like sports?,I watch SportsCenter every day.,1,Yes
17033,Do you have to work a lot of overtime?,I refuse to work too much.,0,No
17034,Do you like cookies?,Chocolate chip are my favorite.,1,Yes
17035,Is it the end of the day already?,Thank goodness.,1,Yes
17036,"Do you make over $100,000 a year?",I wish,0,No
17037,Do you stand up at work?,I sit at my desk all day.,0,No
17038,Are you allergic to garlic?,I'm not allergic to any foods.,0,No
17039,Enjoy diner food?,Diner food is my first favourite.,1,Yes
17040,Do you want to come over for a meal?,That would be lovely.,1,Yes
17041,Did you have a nice trip?,I sat next to someone with a cold -- ugh!,0,No
17042,Does your son still enjoy going to high school ?,he seems to like it,1,Yes
17043,Do you prefer reading nonfiction?,I do prefer that.,1,Yes
17044,Have you checked the crime rate in that area?,I'd rather wing it.,0,No
17045,Do you want to grab some food?,that would be good,1,Yes
17046,Are you friends with all your neighbours?,I know everyone,1,Yes
17047,Do you want to go with me to brunch on Saturday?,If there will be free drinks.,1,Yes
17048,Is it true you adopted four children?,I only adopted a shelter dog.,0,No
17050,Do you come here a lot?,I've been a few times.,1,Yes
17051,Want to have a luncheon today?,How about Friday?,0,No
17052,Do you know what you'll do there?,I'm going to look for a job.,1,Yes
17053,Do you work during the day?,I'd never work at night.,1,Yes
17054,Have you been to the cinema lately?,I just saw a movie last week.,1,Yes
17055,Are you a fan of meat?,I eat meat occasionally.,1,Yes
17056,Have you moved since we last met?,I moved twice since then.,1,Yes
17058,Will you fancy a trip to the pub tomorrow?,I'm off drinking for January.,0,No
17059,Are you glad the week is over?,It's such a relief.,1,Yes
17060,Want to go to the movies?,Think we can make it to the 8pm screening?,1,Yes
17061,Do you enjoy dancing?,Dancing makes me smile.,1,Yes
17062,Do you come here often?,Only when I'm visiting my parents.,1,Yes
17063,Do you want to go to the city centre?,I'd rather stay here.,0,No
17064,Are your parents still living in your childhood house?,They just moved to Paris.,0,No
17065,Do you like murder mystery novels?,I don't like mysteries much.,0,No
17066,Would you drive 30 minutes to work?,I am used to driving an hour.,1,Yes
17067,Want to go to the new pizza place?,If we can order stuffed crust.,1,Yes
17068,Can I buy you a drink?,I'll always take a free drink.,1,Yes
17069,Do you watch sports?,You can usually catch me watching a game on Sundays.,1,Yes
17070,Are you all headed out now?,I'm staying here for a bit longer.,0,No
17071,Do you like reading books?,I am always reading,1,Yes
17072,Do you have a full time job?,I work 5 days a week.,1,Yes
17073,Are you working this weekend?,All of my work is done.,0,No
17074,Would you be open to joining some kind of club or team?,I'd really like to be part of a book club.,1,Yes
17075,Is pizza ok?,I love pizza,1,Yes
17076,Have you read Fifty Shades of Gray?,I've heard good things.,0,No
17077,Are you dating anyone?,I am single.,0,No
17078,Do you like the same hobbies from when you were a kid?,I am still a puzzle enthusiast.,1,Yes
17079,Are you into the classics?,Jane Austen's my fave.,1,Yes
17081,Did you dye your hair red?,You noticed!,1,Yes
17082,Are you into biking?,I have a gorgeous bike.,1,Yes
17083,Have you considered freelancing?,I'd rather be in an office.,0,No
17084,Are you going anywhere tonight?,"I am stopping off at the pub for a drinks with friends,",1,Yes
17085,Was your flight on time?,Surprisingly so.,1,Yes
17086,Are you from here?,I've from Wisconsin.,0,No
17087,Do you want to meet up with me for a walk sometime?,Let's meet at the park Sunday afternoon.,1,Yes
17088,Are your work hours flexible?,It really depends on the season.,1,Yes
17089,Do you have plans while you're here?,I want to visit as much as I can,1,Yes
17090,Want to eat some spicy food?,That's probably not a good idea.,0,No
17091,Have you been to a concert before?,I went to a Taylor Swift concert in high school.,1,Yes
17092,Will you be able to manage the payments?,If I get my promotion.,1,Yes
17093,Have you tried the new restaurant by work?,I've been there a couple times since it's so close.,1,Yes
17094,Was work fun?,We had a blast today.,1,Yes
17095,Have  you read Malcolm Gladwell's book?,It changed my life.,1,Yes
17096,Are you a fan of curry?,If it's not too hot,1,Yes
17097,Want to go to a concert with me?,I'm down.,1,Yes
17098,Would like to read a fantasy novel?,if it's well written.,1,Yes
17099,Is your job too stressful?,It's not too bad.,0,No
17100,Do you like to have a lot of furniture?,I'm a minimalist.,0,No
17101,Do you like a variety of food?,I eat bread mostly.,0,No
17102,Can you see Times Square?,From the kitchen.,1,Yes
17103,Do your family still live here?,They moved out of state.,0,No
17104,Are you ready to go out for dinner?,I need to shower first.,0,No
17105,Do you plan on going home?,I want to go for a drink.,0,No
17106,Want to find a restaurant?,"I don't have much of an appetite, sorry.",0,No
17107,Do you enjoy mysteries?,I'd rather read memoirs.,0,No
17108,Would you like pizza tonight?,I love pizza,1,Yes
17109,Does anyone else know you're here?,We're on our way to visit some old friends.,1,Yes
17110,Do you like to dine in?,When I feel like cooking.,1,Yes
17111,Got anything going on on Saturday?,My cousin's wedding is Saturday.,1,Yes
17112,Are you looking to earn more money?,I am always looking for ways to increase my income.,1,Yes
17113,Do you want to go for a drink in the local pub ?,Let's do it.,1,Yes
17114,Did you transfer for work?,I've been at this location since I started this job.,0,No
17115,Do you still live with your mom?,I inherited the house.,1,Yes
17116,Does hearing indie artists who might be performing in the area sound cool?,I am not a big fan of indie music,0,No
17117,Do you eat breakfast early in the morning?,sometimes it's early,1,Yes
17118,You like swimming?,I swam endlessly as a child and still do.,1,Yes
17119,Are you computer savvy?,I'm very comfortable working on a computer.,1,Yes
17120,Do you still like Avengers?,I'm partial to dramas now.,0,No
17121,Do you want fast food?,Taco Bell would be perfect.,1,Yes
17122,Do you smoke a lot?,I can't afford cigarettes.,0,No
17123,Would the job pay better?,A lot better.,1,Yes
17124,Are you into outdoor art?,I'm not a big fan,0,No
17125,Are you good at your job?,I've been working as a secretary for six years.,1,Yes
17126,Have you met the HOA president?,He seems like a great guy.,1,Yes
17127,Was your trip good?,It was a reasonable trip,1,Yes
17128,Do you work a morning shift?,sometimes I have to,1,Yes
17129,Do you like EDM?,EDM is great for a workout.,1,Yes
17130,Do you like to BBQ during the summer?,I like to grill as often as I can.,1,Yes
17131,Do you have to travel?,Traveling is a small part of the job.,1,Yes
17132,Have you ever try Mexican food?,I grew up eating tacos.,1,Yes
17133,Have you ever tried deer?,My mom served it every Thanksgiving.,1,Yes
17134,Do you like going to the lake?,I love lake trips,1,Yes
17135,Is spending time outdoors something you enjoy?,I like to be outdoors,1,Yes
17136,Did you encounter a lot of traffic coming here?,The roads were empty.,0,No
17137,Did you spend a lot of time building your career?,I've been working at the same job for ten years.,1,Yes
17138,Want to go to the new pizza place?,That place is awesome.,1,Yes
17139,Have you ever worked in a kitchen?,I worked in a shop during school.,0,No
17140,Are your parents okay?,They're getting divorced.,0,No
17141,Do you like fancy restaurants?,If I have dough.,1,Yes
17142,"You've already been to New York, haven't you?",Many times.,1,Yes
17143,Is there anything special you wanted to see while you're here?,I'd love to see the local art gallery.,1,Yes
17144,Have you seen Rhianna's newest video?,"Ooh-la-la, she's looking fine in it.",1,Yes
17145,"Do you make over $100,000 a year?",I'll be making more once I get promoted.,1,Yes
17146,Do you have friends that live around here?,I have a few,1,Yes
17147,Did you go to that Argentinian restaurant last weekend ?,We didn't get in.,0,No
17148,Is budget a major consideration?,Probably the biggest.,1,Yes
17149,Do you follow the best sellers lists?,I like to keep up with them.,1,Yes
17150,Do you like reading graphic novels?,That's the best of all worlds.,1,Yes
17151,Did you research the pros and cons?,That's a good idea.,0,No
17152,Are you a fan of meat?,I'm a vegetarian.,0,No
17153,Do you have a ride home?,I'm riding with Nicole.,1,Yes
17154,Do you like roller coasters?,The ones at Cedar Point are the best.,1,Yes
17156,How about we grab some burgers for dinner?,thats a good idea,1,Yes
17157,Would you be interested in a pool party?,We'd love to get together.,1,Yes
17158,Do you like drama?,I usually try to avoid it,0,No
17159,Did you have ideas about things you would like to do?,I'll do whatever you want to.,0,No
17160,Are you interested in going to the concert on Sunday?,I don't go out on that day of the week.,0,No
17161,Would you be happy to take a pay cut?,I don't believe so,0,No
17163,Do you prefer a patio?,I prefer decking in my back garden.,0,No
17164,Hey are you still living in Maryland?,I am still there,1,Yes
17165,Do you like trying new activities?,I stick to my routines.,0,No
17166,Do guys plan on going out?,"We were going to, but it started snowing.",0,No
17167,Have you tried Valentina's BBQ?,I gave up meat.,0,No
17168,Would you eat Mediterranean food?,If it is low fat.,1,Yes
17169,Do you exercise?,I lift weights.,1,Yes
17170,Have you read any Albert Camus?,I prefer other authors.,1,Yes
17171,Fancy going for a drink?,If I can bring a friend along.,1,Yes
17172,Have you eaten yet?,I didn't have time to pick anything up on the way.,0,No
17173,Want to go see a local tribute band?,That sounds awful.,0,No
17174,Do you like self-help books?,I suppose if I needed help I would.,1,Yes
17175,Do you ever go hanging out at the local bar?,Only with my friends.,1,Yes
17176,Do you have many different skills and talents?,I'm pretty specialized.,0,No
17177,Do you like action and adventure books?,I like sitting on the edge of my seat.,1,Yes
17178,Have you eaten pizza recently?,I try and avoid pizza.,0,No
17179,Are you looking forward to the weekend?,I'm so excited to go to the lake this weekend!,1,Yes
17181,Do you have any future plans regarding your wage?,I would like to be making twice as much as I am now in the next ten years.,1,Yes
17182,Do you still have an interest in eating healthy foods?,I haven't been eating healthy lately.,0,No
17183,Are you going to get a place close to where you work?,I want to be near work.,1,Yes
17184,Can you play football?,I'm better at soccer.,1,Yes
17185,Is karaoke something you enjoy?,Only when I've been drinking.,1,Yes
17186,Do you like going on hikes?,I just bought a new pair of hiking boots.,1,Yes
17187,"Hey if you're up to it, would you like to hit the gym with me in the morning?",I am not up for it.,0,No
17188,Do you like historical fiction?,I prefer modern settings.,0,No
17189,Is the neighborhood good?,It seems all right.,1,Yes
17190,do you have any places in mind you want to go?,I have a whole list of places.,1,Yes
17191,Have you ever attended a job fair?,I haven't ever been to one.,0,No
17192,Do you like crime thriller books?,I don't like thrillers.,0,No
17193,Do you attend concerts?,Not recently.,1,Yes
17194,Do you live in this city?,Only for my entire life!,1,Yes
17195,Want me to show you around?,I would be delighted.,1,Yes
17196,Would you like to go outside?,I'd rather stay in this evening.,0,No
17197,Do you feel passionately about your position or your industry?,I do think it provides an important public service.,1,Yes
17198,Do you have any children?,My wife and I are trying for our first.,0,No
17199,Do you like the same hobbies from when you were a kid?,I moved on to other stuff.,0,No
17200,Are you moving to New York?,I might well be,1,Yes
17201,Have you found a place yet?,There's a great looking apartment across from Central Park.,1,Yes
17202,Is it a better paid job?,I think it's twice as much.,1,Yes
17203,Do you enjoy the science fiction genre?,I'm not into sci-fi at all.,0,No
17204,Do your remember our block fondly?,I have good memories of it.,1,Yes
17205,Did you live local before?,I'm new in town.,0,No
17206,Do you like dogs?,I actually have one right now.,1,Yes
17207,Have you ever ready Stephen King books?,I have the whole collection.,1,Yes
17208,Are you a fan of movies?,When they have an all-star cast.,1,Yes
17209,Are you looking to make more money?,Money isn't a priority for me.,0,No
17210,Do you want to go out to dinner?,Only if you don't have food in the house.,1,Yes
17211,Is Mexican food too spicy for you?,Mexican is my favorite food.,0,No
17212,Do you eat here often?,I typically just make my own meals at home.,0,No
17213,Do you enjoy eating new foods?,That depends on the foods.,1,Yes
17214,Did you ever read any books by Robert Ludlum?,I don't think so,0,No
17215,Do you like Pizza?,Only kids should eat it.,0,No
17216,Do you drink alcohol?,I'm keen on wine and beer.,1,Yes
17217,Is the flat move-in ready?,It's fully furnished.,1,Yes
17218,Are you going anywhere tonight?,I'm just staying at home,0,No
17220,Are you still on a Paleo diet?,I quit,0,No
17221,Do you enjoy listening to heavy guitar distortion?,I don't like it,0,No
17222,Is your job challenging enough for you?,I don't feel like it utilizes my skills.,0,No
17223,Are you still working as a lawyer?,"I'm still working there, it's very rewarding.",1,Yes
17225,Do you get on with your current colleagues?,We all hang out on weekends.,1,Yes
17226,Do you prefer short stories over novels?,I prefer a longer read.,0,No
17227,Are you willing to travel 5 miles?,I'll go anywhere for a good meal.,1,Yes
17228,Do you like reading self help books?,Fiction is all that's on my bookshelf.,0,No
17229,Are you more of a homebody?,I would say I am,1,Yes
17230,Are you hungry?,I ate on the plane.,0,No
17231,Did you graduate college yet?,I graduated a couple years ago.,1,Yes
17233,Do you want to grab a bite to eat?,I'm very hungry.,1,Yes
17234,Do you have a specific neighborhood in mind?,The cheapest and safest.,1,Yes
17235,Do you like EDM?,If I can dance to it.,1,Yes
17236,Are you willing to do any contract work?,I'm open to it.,1,Yes
17237,Do you still talk to our friend Katie?,She called me yesterday.,1,Yes
17238,Are you quitting because of your boss?,"It's time to move on, but due to anyone I work with.",0,No
17239,Any thoughts on what you'd do instead?,I think I'd like to do something related to travel.,1,Yes
17241,Do you work next week?,I am on holidays.,0,No
17242,Have you seen anyone else from the old neighborhood?,I got together with the old gang yesterday.,1,Yes
17243,Do you like sports?,I don't like physical exercise.,0,No
17244,Would you prefer hardback books?,I prefer paperbacks.,0,No
17245,Are you a fan of going to the cinema?,Depends on the movie,1,Yes
17246,Do you get paid well at your job?,I need a raise.,0,No
17247,Do you eat seafood?,only fish,1,Yes
17248,Are your parents okay?,They are still healthy.,1,Yes
17249,Have you looked into the housing costs?,Money is always a factor in the decision making process.,1,Yes
17250,Do you recognize me?,You look exactly the same.,1,Yes
17251,Do you enjoy cooking or baking?,I tried to learn but I don't have the talent,0,No
17252,Is the flat comfortable?,The flat is quite spacious and I'll make it cozy.,1,Yes
17253,Have you made a list of things you'd like to do?,I haven't started it yet,0,No
17254,Do you have to travel far?,My commute is about 10 minutes.,0,No
17255,Have you kept in touch with any of our other neighbors?,I haven't heard from any of them in years.,0,No
17256,Want to grab a bite to eat?,Let's check out the new brewery next door.,1,Yes
17257,Do you want to hang out?,I'm busy for the next few days.,0,No
17258,Is it in a safe neighborhood?,It's quite dangerous actually.,0,No
17259,Do guys plan on going out?,If we feel better -- this cold is a killer.,1,Yes
17260,Are you new to this country?,I have lived here a while,0,No
17261,Are you coming to work tomorrow?,I would say so,1,Yes
17262,Do you prefer working remotely?,I'm lucky I can usually telecommute.,1,Yes
17263,Would you like to check out some bars tonight?,As long as they serve food.,1,Yes
17264,Do you mind staying out late?,Not too late,1,Yes
17265,Are you enjoying yourself?,I am really having a lot of fun.,1,Yes
17266,Do you know Roller balding?,That's new to me.,0,No
17267,Can I join you this weekend?,You're always welcome.,1,Yes
17268,Do you like spicy foods?,Spicy food irritates my stomach.,0,No
17269,Do you have kids?,I have all the time in the world.,0,No
17270,Have you been to any music concerts?,I went to one last night.,1,Yes
17271,Are you ready to go out for dinner?,I have been waiting to eat.,1,Yes
17272,Do you like metal and loud music?,It hurts my ears.,0,No
17273,Are you into music?,I love it.,1,Yes
17274,Do you like salads?,When I'm trying to lose weight.,1,Yes
17275,Can you afford the expensive rent?,"It is high, but I think I can afford it.",1,Yes
17276,do you like museums?,I'd rather go skating.,0,No
17277,Do you like spice in your food?,Just a little spice,1,Yes
17278,Aren't property prices extremely high there?,It is New York.,1,Yes
17279,Do you like wood working?,I have no interest in trying it.,0,No
17280,Are you tired from your journey?,I could use a nap.,1,Yes
17281,Is your job something you enjoy?,When I get to work outdoors.,1,Yes
17282,Do you want to meet for dinner?,I'm free tomorrow night.,1,Yes
17283,Are you interested in historical novels?,If it's American.,1,Yes
17284,"Hey if you're up to it, would you like to hit the gym with me in the morning?",That would be great.,1,Yes
17285,Do you like to run?,I have bad knees.,0,No
17286,Did your day go well?,"There wasn't much to do, so it dragged.",0,No
17287,Have you lived in this city long?,I grew up here.,1,Yes
17288,Do you talk to any of our old friends?,I talk to some of them,1,Yes
17289,Can I come to you to the park?,I'm going home now.,0,No
17290,Are you into Rock and Roll?,I like the old stuff.,1,Yes
17291,Do you want to go to the mall?,I do want some new clothes.,1,Yes
17292,Are there many people who come and go?,There's a lot of turnover.,1,Yes
17293,Are you looking for an older building?,Older is in my price range.,1,Yes
17294,Have you read any Albert Camus?,That name isn't familiar with me,0,No
17296,Do you sing?,In the shower!,1,Yes
17297,Have you been working for a long time?,I've been here for 10 years.,1,Yes
17298,Are you a frequent visitor to New York?,I am here at least every six months.,1,Yes
17299,Do you have a ride home?,I need one.,0,No
17300,Are you interested in outdoor activities?,I am a golfer.,1,Yes
17301,Do you know the neighbourhood?,I haven't been around much.,0,No
17302,Do you have a favorite restaurant?,I like to go to Chez Louis' restaurant.,1,Yes
17303,You like spicy food?,sometimes I do,1,Yes
17305,Do you mind crowds?,Too many people in a place bothers me.,1,Yes
17307,Do you like pop?,Pop is my favorite,1,Yes
17308,Have you heard of Tolkien?,I have never heard of that,0,No
17309,Would you consider living in Brooklyn?,Brooklyn would be my first choice.,1,Yes
17310,Have you moved since we last met?,I've moved twice since then.,1,Yes
17312,Did you play any instrument when you were younger?,I remember playing the piano as a kid.,1,Yes
17313,Do you have your keys?,I believe I left them in my desk drawer.,0,No
17314,Do you like to do Yoga?,Depends on which type of yoga.,1,Yes
17315,Should we check out special events happening in the area during your stay?,"That would be great, I'd like to do something fun.",1,Yes
17317,Do you like blueberry pie?,It's my favorite!,1,Yes
17318,Does your job have a special skill required?,You have to have five years of PHP.,1,Yes
17319,Are you enjoying your work?,right now I am,1,Yes
17320,Have you ever seen a live band play?,I've been to lots of concerts.,1,Yes
17321,Could you go for hamburgers?,Only if they have a vegetarian option.,1,Yes
17322,Want to come in and have a cup of tea ?,I don't drink tea.,0,No
17323,Did you read the Game of Thrones books?,I've seen the show.,0,No
17324,Would you like a large building?,If I can afford it.,1,Yes
17325,Did you enjoy the all you can eat food variety we had last week?,"The more variety, the merrier.",1,Yes
17327,Do you like Michael Buble?,He's a total hack.,0,No
17328,Did you like that sushi place we tried the other night?,The Dynamite rolls were so good.,1,Yes
17329,Have you played any instruments before?,I've played many.,1,Yes
17330,Have you eaten anything great last week?,I don't believe I have,0,No
17331,Did you research the pros and cons?,"I haven't, as my mind is set on this.",0,No
17332,How about going to the new local pub?,I hear they have good nachos.,1,Yes
17333,Are you in a relationship?,I've been married for four years.,1,Yes
17334,Do you like classical music?,I prefer hip hop.,0,No
