context,utterance,implicature
Are you from this state?,I'm from Oregon.,0
Have you been to Barton Springs?,I keep meaning to go.,0
Does it have windows?,It better.,1
Do you like alcohol or wine with dinner?,I would prefer lemonade.,0
Have you tried the tex mex here?,We ate tex mex the last time I visited.,1
Do you like country and western bands ?,I hate that genre of music.,0
Do you watch sports?,I went to the US open in the fall.,1
Do you like to cook or bake?,I'd rather eat out.,0
Do you like soft music?,I prefer bouncy pop.,0
Do you enjoy fishing?,Having fish on hooks bother me.,0
Do you have management experience?,I have been managing for 10 years.,1
Have you ever been rock-climbing?,That's my main form of exercise.,1
Would you like to see a movie?,I frequently go the cinema to see the latest blockbusters.,1
Do you like this area of town?,The streets are kind of dirty.,0
Do you ever work from home?,I would prefer to have the option to work from home as I have not before,0
Do you play video games?,I prefer chess.,0
Would you live there again if you had the chance?,"If I had the chance, I would consider it.",1
Do you like to go shopping?,Only if I have money to spend.,1
Is a full-time role what you think you'd like?,I'd prefer a part-time job.,0
Have you tried the barbecue place here?,I'm vegan.,0
Do you like cheeseburgers?,I eat them like crazy.,1
Did you enjoy today?,I had a good time.,1
Have you ever tried Indian food?,I tried it a while ago,1
Do you get along with our colleagues?,Everyone is pleasant to work with.,1
Have you eaten pizza recently?,I ordered from Dominos last weekend.,1
Do you like to go hiking?,I love a good hike,1
Is it an office job?,It's a big office.,1
Do you like tacos?,If they are spicy.,1
Is your job a full time one?,I will be working over forty hours a week!,1
Have you run into anyone else from the old 'hood?,I have seen quite a few people I knew back in the olden days.,1
Will you be having a lie in in the morning?,I'm looking forward to a lie in tomorrow.,1
Did you play an instrument in high school?,I played the clarinet.,1
Did you want to go out tonight?,I am not looking to spend money this evening.,0
Do you remember the last time we were in touch?,"It was back in high school, I think",1
Do you want to meet up this weekend?,I'll be working over the weekend.,0
Are you planning to move there permanently?,It will only be for a year.,0
Are your parents still living in the area?,They moved away a few years ago.,0
Are you a manager of people?,I supervise a team of three.,1
Do you prefer to relax on the weekends?,I like to pack in as many errands as I can.,0
Are community gatherings important?,Community gatherings are so much fun.,1
Did you have any plans for tonight?,Nothing concrete.,0
Are you leaving as well?,I think I'm ready to go.,1
Are you a fan of classic literature?,Dickens especially.,1
Shall I book a table at my favourite restaurant tomorrow night?,If they have a vegetarian option.,1
Do you like restaurants with buffets?,Buffets are the best.,1
Are you a fan of classics?,It took me two years to get through Wuthering Heights.,0
Did you become a teacher?,I became a lawyer.,0
Want to go for a hike tomorrow?,Let's take the kids.,1
Do you enjoy Mexican cuisine?,I have a favourite taco place.,1
Would you ever learn to play piano?,I would love to,1
Would you want to go to see Garth Brooks tomorrow?,That sounds boring.,0
Do you want to live in Manhattan?,that would be ideal,1
Have you lived in this area long?,I just landed 2 weeks ago.,0
Do you enjoy eating new foods?,I'm afraid I have a limited palate.,0
Do you like books by American authors usually?,I don't mind really,1
Do you want to grab a bite to eat?,I need a nap first.,1
Have you heard of The Script?,I need to check them out.,1
Are you in the mood for Chinese tonight?,Chinese never satisfies me!,0
Are you thinking of moving soon?,I want to move by the end of the year.,1
Do you like crime novels?,they are my favorite,1
Would you like to go to the movies tonight?,I need to catch up with my homework tonight.,0
Are you skilled with the guitar?,I've been playing for many years.,1
Will I see you at the office party tomorrow?,I wasn't planning on coming.,0
Do you eat organic foods?,All of the produce that I buy comes straight from the farm.,1
Did you watch Stephen King's IT?,I was too scared to watch it.,0
Are you still living there?,I moved away a long time ago.,0
Is your job too far?,The office is fairly close.,0
Shall we go out for a drink tonight?,I drank too much on the plane.,0
Have you played guitar for long?,My whole life!,1
Will you have a roommate?,Just my husband.,0
Are you not enjoying your current job?,I don't feel fulfilled.,0
"I have this great autobiography, if that is the sort of thing you would be interested in?",I love recommendations.,1
Do you like sports?,When there's no contact.,1
Do you work around here?,I work at a cafe downtown.,1
Do you like techno music?,Dance music isn't really my vibe.,0
Did you move from near-by?,Out of town,0
May I get your phone number?,I'm between phones right now.,0
Do you listen to classes musical?,I've never heard of it.,0
"I could really go for some BBQ, are you down?",Let's try that new BBQ place in town.,1
Want to go to the park?,I'm scared of dogs.,0
Do you have a favorite book?,I have a few that I've read several times.,1
Would you like to stay over?,that would be great,1
Do you ever work from home?,I work from home all of the time.,1
Do you like to watch movies?,I prefer books.,0
Are you not happy with you work conditions?,I have found that the health and safety aspect has dropped dramatically.,0
Have you ever had Thai food?,Pad Thai is my favorite.,1
Do you have to work your other job this weekend?,I am quitting that job today.,0
Would traveling for work be OK?,I prefer being close to home.,0
Would you like living uptown?,I prefer the Downtown area of Manhattan.,0
Do you like to to get outside?,I'm big into hiking and camping.,1
"In work, do you find yourself to be analytical?","I am definitely a careful, thoughtful, and detail-oriented worker.",1
Would you like to watch a show?,I'd like to have dinner.,0
Did you spend a lot of time building your career?,I have been at it for 25 years.,1
Are you in a relationship?,I'm all by myself for now.,0
Are you working here?,I will be soon,1
Have you ever try Asian food?,I love Chinese.,1
Are you open to having roommates?,Having roommates might be too much trouble.,0
Want to go downtown?,If there are good restaurants there.,1
Is the flat in a good area?,It seems to be,1
Would you like to go camping this weekend at the park?,If we can rent an RV.,1
Do you like books that have twists?,They are the best ones,1
Did you have any plans for tonight?,Only if you're asking me out,0
Are you fit and healthy?,I think I could stand to lose a few pounds.,0
Have you been to Torchys?,Not yet,0
Had a good week?,It has not been too bad,1
Do you reread favorite books?,I try to reread books I loved when I have time.,1
Are you the owner of your home?,We purchased it from the couple who used to live here.,1
Will your payments be about the same as what you pay for rent right now?,They will be higher.,0
Would you like to go to the movies this weekend?,Only if there's something good on.,1
Do you work full-time?,I have a couple of part-time gigs.,0
Do you get along with your coworkers?,I have so far,1
Does your job involve customer service?,I interact with clients on a regular basis.,1
Do you have to travel far?,My commute is quite short.,0
Do you feel like having a warm meal?,I'm not very hungry.,0
Did you have a nice journey?,it wasn't too bad.,1
Do you like to eat out?,I like making food at home.,0
Do you listen to music on the radio?,sometimes I do,1
Are you a fan of nonfiction?,I prefer fiction,0
"You've already been to New York, haven't you?",I have been a few times,1
Do you like sports?,I don't like physical exercise.,0
Want to go for a hike tomorrow?,If I can borrow your walking stick.,1
Do you get on with your colleagues?,We go out every Friday after work.,1
Would you like to get together over the weekend?,I don't think I'll have time.,0
Will you be going at night this weekend?,I'm trying to get good rest.,0
Have you lived in a flat before?,We live in one in Chicago.,1
Do you like crime novels?,I find them too scary.,0
"Hey there buddy good to meet you, is it just you that's moved in or are you married?",I'm happily married.,1
Would you like to have dinner?,I'd prefer to eat dessert first.,1
Fancy going for a drink?,Why not,1
Did you get the pool key?,I haven't received any items yet.,0
Do you remember the last time we were in touch?,Must have been right before graduation.,1
Are you new to the area?,It's been a while since I first came here.,0
You get married yet?,I've been married for three years.,1
You taking off too?,I'm going to be working tomorrow.,1
Is it big?,It's new York -- nothing is big!,0
Was your flight nonstop?,It was straight through.,1
Want to see a sports game?,That sounds good.,1
Can I join you?,The more the merrier.,1
Do you like dogs?,I love dogs,1
Do you enjoy sports events?,When it's a close game.,1
Are you wanting to move into the capital?,I'm trying to be in the city.,1
Are you interested in the Bronx?,I have never been.,0
Do you have to work a lot of overtime?,Almost every day.,1
Do you want to have a BBQ this evening?,That would be great.,1
Will you be in tomorrow?,I have to go to the doctor.,0
Are you currently working here?,I'm only visiting for the weekend.,0
Do you mind staying out late?,Only if we can sleep in the next day.,1
Are there young families in this neighborhood?,There are lots of kids.,1
Did you read The Help?,I've never heard of it.,0
Do you want to live inside the city?,I want to be in Brooklyn.,1
Do you stay up late?,I try to be in bed by 10 pm.,0
Fancy going for a drink?,I've got an hour before i need to be home.,1
Do you have any family close by?,My kids are in the moving van.,1
Are you pleased with your house?,".It needs a little work, but overall I love it.",1
Do you like top 40 music?,I only listen to classical music.,0
Does it feel strange to see me again?,It was odd to run into you here.,1
Do you still play the piano?,I haven't played for ages,0
Do you have any plans this weekend?,I'm going to volunteer at the animal shelter.,1
Would you like to hit the local game shop later?,I don't think we need anything.,0
Would you like to come for dinner,I am available anytime.,1
Don't you just love the violin sound?,It grates on my nerves.,0
Do you like to drink?,Now and again I do,1
Are you a vegetarian ?,That's laughable.,0
Do you like Italian food?,I love lasagna.,1
Is your job boring?,There are many repetitive tasks.,1
Do you like hiking?,I prefer sailing.,0
Is your family going skiing this weekend?,There was an emergency and the trip is cancelled.,0
Do you like similar music to your parents?,We have some crossover.,1
Have you set your budget for the purchase?,My budget is pretty flexible.,1
Do you enjoy water sports?,I surf.,1
Have you heard of ACDC?,They are one of my favourite bands,1
Have you grown tired of your work routine?,My routine has become a little tedious.,1
Is it close to a metro stop?,There is a shop not too far away,1
Are you open to having roommates?,I'm too old to live with someone else.,0
Shall we head back to mine?,I'd like to stop at a convenience store on the way.,1
Do you like science fiction books?,I could recite Asimov's rules of robotics when I was five.,1
While you're in town do you want to go see a game of American football?,If you can get tickets.,1
Want to go see a local tribute band?,It depends on who they're covering.,1
Are you free this weekend?,I have a date with my bed.,0
Do you need to be close to the subway?,That is a non-negotiable.,1
Do you know anyone there?,I have a few pals.,1
Have you gone to any good concerts lately?,The last concert I went to was in fifth grade.,0
Did you ever read any books by Robert Ludlum?,His writing is so bad.,1
Have you thought about your commute to work?,I have it all planned out.,1
Are you a fan of international cuisine?,I really love Brazilian BBQ.,1
do you have kids?,In the future maybe,0
Did you get all your projects finished?,"They extended the deadline on the one, so I'll finish next week.",0
Do you have a pet?,I have a chinchilla.,1
Will you be working in an office?,I'll be working from home.,0
Have you moved from out of town?,I moved from the countryside,1
Is your company private?,We trade on the stock exchange.,0
Do you often throw dinner parties for friends and family?,I usually do on New Year's Day.,1
Are you going to the gym?,I'll wait and go tomorrow.,1
Are community gatherings important?,I think they are,1
Are you interested in sushi?,I could eat sushi every day.,1
Are you a fan of meat?,I only eat fish and poultry.,0
Will you be seeing your family this weekend?,They are all out of town.,0
Did you start your job a long time ago?,It hasn't been much time.,0
Do you like modern buildings?,I prefer older architecture.,0
Will your family be visiting this weekend?,They told me so.,1
Do you like any current artists in the charts?,Taylor Swift's songs are fun.,1
Are you into theater plays?,If there's good music.,1
Do you want to order some pizza?,If we can get pepperoni on it.,1
Have you been to ACL Festival?,What's that?,0
Is classical music your favorite?,Rap is my favorite.,0
Did you consult with your partner/parents?,My parents gave me some great advice about investing in property.,1
Got anything going on on Saturday?,just going out for dinner,1
Have you discussed buying a flat with your family?,They lost interest.,1
Do you like guitars?,I'm a collector of them.,1
Are you looking for something more challenging?,More challenging than my old job anyway.,1
Did you check the new short story books published recently?,I haven't had chance,0
Do you like sci fi?,I'm a huge sci-fi fan.,1
Will you have enough room for your pets?,She sleeps with me.,1
Are things going well at work?,Better than last year.,1
Will you be able to work from home?,If I can get training.,1
Do you work too much?,I billed more hours than anyone else in the firm last month.,1
Do you want to meet up this weekend?,What did you have in mind?,1
Do you know anyone in the area?,My coworkers live nearby.,1
Do you have family in the area?,All of my family members live in another country.,0
Is crime low in this neighborhood?,We've never had any issues.,1
Are you in the mood for something sweet?,I absolutely love desert!,1
Do you like watching anime?,I wouldn't say I do,0
Have you seen the nutcracker yet?,We saw a small production of the nutcracker in elementary school.,1
Do you mind if we walk to the bar?,"Sorry, I can't go drinking tonight.",1
Are you in a relationship?,I've been married for a few years now.,1
Are you looking to meet people?,I'm quitte lonely.,1
Are you still living in town?,I'm enjoying the countryside actually.,0
Would you like to have some drinks?,I could do with a drink.,1
Do you have kids?,They only eat peanut butter sandwiches.,1
Are you a music fan?,I listen to music on Spotify.,1
Are you open to having roommates that you rent to?,I prefer to have the place to myself.,0
Are you from around here?,I am this neighborhood.,1
Have you visited any of the local tourist locations?,I can't wait to visit the local attractions,0
Are you a science fiction fan?,Heinlein kindled my love of reading.,1
Are your parents still living in your childhood house?,They'll never move.,1
Can you eat spicy food?,It doesn't agree with me.,0
Would you like to join me for some coffee?,I'd rather go out for a drink.,0
Did you see the last Avengers movie in theaters?,I've never seen an Avengers film.,0
Want to grab a bite to eat?,that sounds good,1
Have you been to a lot of live concerts?,I can't count how many concerts I've been to in my life.,1
Are you a fan of mountain climbing?,I like hiking instead.,0
Did you get a job here?,I got a job close by,1
Are you looking for a flat in a walkable neighborhood?,Markets within walking distance would be a plus.,1
Did you take your dream vacation?,We finally did.,1
Is being near public transportation a priority?,It's a necessity,1
Do you need to stay over at my place?,I'd appreciate that.,1
Have you been to any festivals?,I went to a couple as a teenager.,1
Are you ready to enjoy the weekend?,I'm so excited!,1
Would you like to live downtown?,It's too busy down there.,0
Do you want to travel somewhere?,Is there something fun to do for a day trip?,1
"There's a car show downtown, are you coming?",I'm not into cars.,0
Are you from out of state?,Our move took us three days of travel.,1
Do you have any dietary restrictions?,I don't eat dairy.,1
Are you up for a hike tomorrow morning?,that would be fun,1
Did it take a while to get here?,Only because the flight was delayed.,1
Have you gone to Coachella?,Coachella is too far away.,0
Are you going to see Elton John's farewell tour?,If he comes to my town.,1
Can you handle the cost of living there?,I have plenty of spare cash.,1
Do you like to eat spicy food ?,I am known for my resistance to heat.,1
Are you going to quit?,If I find a new job I will.,1
Did you hear about that popular band  coming to town?,I have my head in the sand.,0
Do you often read nonfiction?,Biographies are my preference.,1
Are you lactose intolerant?,not that I'm aware,0
Do you like going to baseball games?,I prefer soccer games.,0
Want to go see a movie?,A movie sounds like a good plan,1
Do you eat red meat?,"Well, I grew up in a BBQ restaurant.",1
Do you have a lot of hobbies?,I keep busy with lots of different activities.,1
Have you heard the new 21 Pilots song?,I bought it last week.,1
Do you own a car?,I have a brand-new SUV.,1
Are you going to any concerts this year?,I hope to be later on,1
Do you spend a lot of time filling in paper work?,it's part of the job,1
Do you listen to the radio?,When I'm in the car I turn it on.,1
Do you want to get some fried chicken with me?,Fried food has so many calories.,0
Have you been to a live concert?,Back in the day.,1
Are you interested in keeping fit?,I bought a gym membership a few months ago.,1
Are you willing to spend some money?,It depends on how much it costs.,1
Would you like to read a book that could make you cry?,I love emotional stories.,1
Have you ever been a big music festival?,Only in my dreams.,0
Do you enjoy playing any sports?,Sometimes I do,1
Want to grab dinner/lunch?,How about lunch on Sunday?,1
Are you in the mood for Chinese tonight?,If we can get chow mein.,1
Can we buy a rock CD to listen to together?,Why don't we download one instead?,0
Does your background match up well with the new job?,I think that it does.,1
Have you read the latest Stephen King book?,I've read everything he's ever written.,1
Are nonfiction books interesting to you?,I enjoy biographies.,1
Do you live by yourself?,I'm living with my wife and kids.,0
Would you like to join me for some coffee?,I've got to catch a train.,0
Did you marry your high school sweetheart?,I married someone I met on holiday.,0
Have you been to SXSW?,I've never been there.,0
Do you know about that band coming to town?,I hadn't heard.,0
Would you want to go to the beach this weekend?,"The sun does me in pretty quickly, I can only take the beach in small doses.",1
Are you into football?,I'm more of a baseball person.,0
Do you want me to give you a lift home?,that would be good,1
Do you have a favorite musician?,It's hard to narrow it down to one.,0
Will you be deciding about switching jobs soon?,Decisions will be made before the end of the week.,1
Have you ever lived in a quiet neighborhood?,The neighborhood I grew up in was very safe.,1
Are you thinking of moving soon?,Within the next year.,1
Have  you read Malcolm Gladwell's book?,I haven't read any of this work.,0
Have you been to a book reading lately?,I haven't recently,0
Was your move job related?,I just liked this area.,0
Did you and Jessica ever end up tying the knot?,She broke up with me before I asked her to marry me.,0
Are you into romantic novels?,If I'm lonely I like steamy romances.,1
Do you hate crowds?,I am an extravert.,0
Do you watch romantic movies?,I love them!,1
Have you ever been bowling?,I haven't for a few years,1
Do you enjoy the summer weather?,I love sunshine.,1
Do you enjoy cooking or baking?,My favorite meal to make is fondue.,1
Was the trip good?,It was an easy drive.,1
Do you like to read self-help books?,I've never read one that wasn't boring.,1
Is your work technical?,I'm more creative.,0
Have any kids yet?,We have three.,1
Would you like a romance story?,If it's not cheesy.,1
Are you currently working?,Full Time,1
Would you like to check out this museum?,"It looks amazing,",1
Do you like heavy metal?,I prefer other styles.,0
Have you ever been to the fair?,Only when I was a child.,1
You have any children?,I am kid free,0
Do you want to be on a floor high up?,The higher the better.,1
Do you want to eat at chain restaurant?,You know what you are getting in a chain restaurant,1
Do you work long hours?,I only have to be there between 10 and 3.,0
Do you like restaurants with buffets?,I prefer ordering from a menu.,0
Do you like hip hop?,I don't listen to it.,0
Does your current position have growth potential?,There's no career progression in my current job.,0
Are you living close?,I am on the other coast.,0
Shall we try out that new gastopub this weekend?,I like that idea.,1
Do you like where you live?,It could be better.,0
Do you often listen to pop music?,I always listen to top 40.,1
Do you have any special diet?,I don't eat any red meat.,1
Are you going to drive your car to work?,I'll plan to take the subway.,0
Do you want to go for a drink?,I would love to,1
Want to go for a hike tomorrow?,Let's not and say we did.,0
Do you want to go for brunch tomorrow?,I don't have plans so I don't see why not.,1
Are you into going to festivals?,There are too many people.,0
Are you reading anything right now?,Currently reading a biography on Tolkien.,1
Are you in a band?,I was years ago,0
Are you in a book club?,I started one at my library.,1
Would you consider renting the flat out for extra money ?,I would rather not,0
Do you prefer a patio?,I prefer some outdoor space,1
Will you go straight home?,I have to pick up milk.,0
Do you need a yard?,"Not really, as I'll be across from the park.",0
Do you have a real estate agent that you're working with?,Aaron is my agent and he's very good at finding apartments.,1
Do you enjoy art?,I'm an artist.,1
Let's go to swimming?,I don't know how to swim.,0
Did your day go well?,"There wasn't much to do, so it dragged.",0
Are you in to retro musics?,some of them are okay,1
did you park in the parking garage?,I'm in the lot next door.,0
"Do you do accounting tasks, like with spreadsheets?",I avoid the accounting tasks as I haven't been trained with spreadsheets.,0
Was the trip peaceful?,I slept the whole way.,1
Do you mind crowds?,I avoid large gatherings.,1
Have you lived here very long?,only for a month,0
Do you like the outdoors?,I prefer being outside than being at home.,1
Will I see you at the office party tomorrow?,"I'm gonna skip out, it's my daughter's birthday.",0
Do you enjoy horror?,I love it,1
Do you like scary contents?,I don't want to be scared.,0
Do you have any furniture?,I'm going to buy it all new.,0
Are you enjoying your work?,It is interesting,1
Do you like going for walks?,My anxiety kicks in when I do.,0
Do you have any memberships to fitness club?,I've been out of shape and lazy.,0
Do you enjoy living out of town?,It's nice to be somewhere new.,1
Are you a fan of superheros?,Batman and Spider-Man are awesome.,1
Do you want to go with me to brunch on Saturday?,Where to?,1
Have you got any plans this weekend?,I'll have to look at the weather.,1
Are you okay to sleep on the sofa tonight?,I'd prefer a proper bed.,0
Do you enjoy cooking or baking?,I like to cook or bake when I'm not busy.,1
Will you be participating in any sporting activities on Saturday ?,I hope so!,1
Do you want to go to the movies this weekend?,I'm going out of town this weekend.,0
Would you like alcohol or a cocktail with your meal?,I like a little wine with my meals.,1
Is the flat comfortable?,It's got enough space to lay out on the floor.,1
Do you want a place close to home?,The closer the better.,1
Do you enjoy trying unique dishes?,I like to stick to my favorites.,0
Would you have to work weekends?,I refuse to work on Saturday.,0
Have you seen the new art exhibition that is in the town hall?,I'm hoping to see it this weekend.,0
Do you like songs with acoustic guitar?,I prefer electric guitar.,0
Did you like the restaurant we went to?,The food was really good.,1
Is making money important to you?,It's one important thing.,1
Do you enjoy sports events?,Depends on the event,1
Should I give you my number?,You're already in my phone.,0
Do you want to walk to the bus stop together?,That sounds delightful.,1
Do you like novels based in World War 2?,I prefer peaceful novels,0
Do you like to take walks with your dog?,Only when it's nice out.,1
Do you like science fiction novels?,When they have robots.,1
Was that biography that you read any good?,I thought it was,1
Enjoy exercising?,I'm a runner.,1
Have you met up with anyone else we know?,I saw David on the bus.,1
Do you like music you can dance to?,I prefer to listen to rock music.,0
Want to get together this weekend?,We are heading to the mountains.,0
Do you enjoy the summer weather?,I really like sunshine.,1
Do you drink alcoholic beverages?,I'm addicted to beer.,1
Are you into musicals?,I love music.,1
Do you like rock-n-roll?,I was born to rock.,1
Do you play any instruments?,I practice the piano every Sunday.,1
Are you going to get a roommate?,I do have one.,1
Have you ever attended a job fair?,I did a few years back,1
Have you been to any music festivals?,I went to Coachella once.,1
Does your work require creativity?,It's mostly busywork.,0
Are you into long walks?,"I have a bad knee, so I prefer them short.",0
Did you ever get to learn to play the banjo like you wanted to when you were young ?,It's still just a dream.,0
Do y,"ones for your work?"",""I have a secretary who handles that for me.",0
Are you into fiction?,Fiction keeps me dreaming.,1
Have you tried the tex mex here?,I've always wanted to -- that's why I came to visit.,0
Do you drink alcoholic beverages?,I really don't like alcohol.,0
Are you game for seafood this weekend?,If it's fresh.,1
Hey are you still living in Maryland?,Still in the same apartment!,1
Did you enjoy your flight?,Being in coach was awful.,0
Do you think you might want to go camping this weekend?,That's the plan.,1
Have you got a salary in mind?,I have a figure in my head,1
Do you prefer an office job?,I prefer being outside in the action.,0
Are you driving home now?,I'm going to do a little shopping first.,0
How about Stephen King?,His writing scares me.,0
Are you more of a homebody?,"I don't really get out much, to be honest.",1
Do you still live with your grandparents?,They died a long time ago.,0
Have you taken utilities bills into consideration?,I've already done my research.,1
Are you busy Saturday?,I'm going out of town for the weekend.,1
Have you found a good realtor?,The best,1
Do you like to dance?,If there is a dance floor,1
Have you lived here very long?,Only a few weeks.,0
Will you have a longer commute if you switch?,Not if they let me work remotely.,0
Did you have a pleasant journey?,The train ride was insane.,0
Do you attend concerts?,when I have time,1
Do you prefer short stories over novels?,Short stories keep my attention more so than novels.,1
Do you have any siblings?,My sister is older than me.,1
Have you seen that new movie?,I haven't seen it yet,0
Have you been to the opera?,I prefer musicals.,0
Would you like to talk about sports?,If you want to,1
Would you like to try that new Italian place down the road?,I really want to try their pasta.,1
Should the new company be located near home?,I cannot stand commuting.,1
Do you prefer spicy dishes?,I would rather have mild,0
Is your fascination with reading about being self employed still your dream?,It has been for a long time.,1
Do you spend a lot on food?,I spend twice as much as anyone else I know because of my food sensitivities.,1
Are willing to work  night shifts?,only if I have to,1
Have you ever gone kayaking?,I went to a bioluminescent bay in Puerto Rico.,1
Are you into classical composers?,"I like the big names, like Mozart.",1
Is it close to work?,"It's a block from the subway, and that's good enough.",1
Do you know how to play piano?,I just started taking lessons last month.,1
Is there a specific dish that you enjoy?,I dig fresh-made pasta.,1
Do you like Michael Buble?,Who?,0
Do you like the same foods that you used to eat?,I've expanded my palate so much!,1
Is your family doing okay?,My mother and father just bought a new home upstate!,1
Do you like to play the drums?,I can't keep a beat to save my life!,0
Have you been to Lake Travis yet?,We kayaked there yesterday.,1
Are you into cycling?,It's been a few years since I've ridden a bike.,0
Can you give me a ride home?,The car is in the shop.,0
Do you want one bedroom?,I actually need to have two bedrooms.,0
Do you like to workout or are into athletics?,I do both,1
Do you have a favorite singer?,Belinda Carlisle is my favorite singer.,1
Do you have cash saved up for a down payment?,I wouldn't be able to do this if I didn't.,1
Are you going to any concerts this year?,I just bought tickets to see Thom Yorke!,1
Are your work hours flexible?,Just 9 to 5,0
Have you been to any concerts recently?,I spend my free time at the movies.,0
Do you work close?,I work around the corner.,1
Did you take your dream vacation?,I haven't done it yet,0
Would you like to come around for dinner?,When are you thinking?,1
Do you prefer to hold a book?,I prefer an E-reader.,0
Was your trip here okay?,It was a smooth trip.,1
Do you like living it here?,I love living here.,1
Do you go to local concerts?,I've been to a few.,1
Did you get all your work done?,I've finished everything.,1
Are you a fan of superheros?,I do like them,1
Do your parents still live there?,They just moved to Spain.,0
Have you considered renting?,I would prefer to buy,0
Would you be willing to provide references and a credit report to a prospective landlord?,Yeah I can do that.,1
Do you enjoy spending time outside?,I could laze around in a hammock all day.,1
Do you make any music?,I play guitar in a band.,1
Are you satisfied with how things have turned out?,I'm content with the life I have.,1
Do you have any future plans regarding your wage?,no plans right now,0
Did you read any of the best-sellers?,I can't think of any.,0
Are you wanting creative fulfillment in your work?,I don't like creative work.,0
Are you interested in history or historical novels?,I like historical non-fiction more than novels.,1
Did you play any instrument when you were younger?,I remember playing the piano as a kid.,1
Do you go to concerts?,When I can afford to,1
Do you prefer to fly when traveling?,My favorite way to travel is by train.,0
Do you spend time outside on the weekend?,We go camping a lot.,1
You find reading about scary adventure exciting?,Sometimes it can be stressful.,0
Can you see the ocean from it?,I can see the river.,0
Do you like modern literature?,The classics are better than today's books.,0
Are you enjoying your job?,It's better than I expected.,1
Does your current position have growth potential?,I've heard about a lot of people moving up from there.,1
Shall we go shopping now?,"Let's go, I need new sandals.",1
Are you a musician?,I can't play any instruments.,0
Do you like parties?,I love them,1
Want to go downtown?,I would prefer to stay in this area of town.,0
Do you like clubs?,Clubs aren't very exciting to me.,0
Did you buy the 2 story victorian,I don't know who bought that one but it was't me.,0
Are you a fan of sports?,I enjoy soccer.,1
Are we meeting at my house later?,If you're still up for it.,1
Hey would you be interested in going to a local band's show this weekend?,I'm feeling a little sick; how about a rain check.,0
Is the salary higher?,It's almost double my current salary.,1
Are you paying off the purchase with cash?,I finally have enough to do it.,1
Did you spend a lot of time building your career?,I spent 6 years in the workforce in addition to college.,1
Are you considering a career change?,I am looking to get paid better for what I already do to be honest.,0
Did you have any plans for tonight?,I am watching my son play football later.,1
Are you wanting creative fulfillment in your work?,My last job was all busywork.,1
Is the location of your job a concern?,I live pretty close so distance doesn't bother me.,0
Do you like spice on your food?,I can't handle too much heat.,0
How you seen the scooter rentals?,I didn't know that was a thing.,0
Have you heard of The Script?,Is it a movie or play?,0
Can you open the door for me?,Your arms are quite full!,1
Do you like steak?,If it's cooked medium well.,1
Have you got a salary in mind?,I'm hoping to increase my salary.,1
Are you a non fiction lover ?,I prefer fiction,0
Have you met the other neighbors?,You're the first neighbor I've met.,0
Would you want to go to a steakhouse?,I don't eat steak,0
Are you interested in politics?,I hate politics.,0
Do you regularly attend concerts?,I don't usually have time to.,0
Have you played guitar?,I did when I was younger,1
Do you enjoy going to the cinema?,I prefer going to plays.,0
Have you been downtown yet?,I haven't ventured that far,0
Do you have a laundry room?,I think there one down below,1
Do you like to read?,I'm afraid to see how much I spend on books.,1
Are you willing to live by yourself?,I'd prefer that!,1
Can we stay with you when we visit?,My flat isn't going to be very large.,0
Are you willing to get a roommate?,not if I can help it,0
Are you familiar with this neighborhood?,I'd like to take a walk around to get better acquainted with it.,0
Are you all headed out now?,Want to join us?,1
Do you like noodles?,I eat pasta and pad Thai.,1
Do you remember what we got up to as children?,I cherish those memories.,1
Do you have kids?,My daughter is two years old.,1
Is it important to you to be close to the train?,"I want to make sure I get home faster, so it's important.",1
Do you like to go to the movie theatre?,The indie theatre is my favorite spot in town.,1
Do you find it too far to commute?,I was travelling around two hours each way.,1
You have any kids?,Just found out I'm pregnant with our first.,1
Do you like EDM?,I don't listen to it very often.,0
Are you partying this weekend?,I party every weekend.,1
Have you been to any jazz shows?,I'm not into jazz.,0
Do you like illustrations?,I like so arty and tasteful illustrations,1
Do you like burger places?,If they're clean.,1
Do you like jazz concerts?,I can't say I do,0
Would you want a personal office?,I hope to have my own space to work in.,1
Is there anything I should be worried about?,We're a quiet bunch.,0
Have you been to Japan?,It's on my bucket list.,0
Do you go to outdoor concerts?,Indoor concerts are the way to go.,0
Are you walking home?,I may get a taxi.,0
Will you have to share the flat with anyone?,I'm too old for roommates.,0
Are you friends with all your neighbours?,The people around us locally are really sociable.,1
Are you looking for a role with a flexible schedule?,I prefer the stability of a set schedule.,0
Are you into any sci-fi movies?,I prefer something funny.,0
Do you have a favorite musician?,"Snoop Dog, probably.",1
Have you heard about the new outdoor music festival?,I haven't heard a thing,0
Are you into young adult novels?,Those can be really good for all ages.,1
Are you available to move in April?,That would be way too soon.,0
Are you looking at an expensive apartment?,I wish I could afford something really nice.,0
Do you like reading books with a complicated story?,I enjoy a little challenge.,1
Have you stayed in touch with anyone from school?,I go to all of the reunions.,1
Do you get along with your colleagues?,They are my best friends.,1
Do you like family style restaurants?,I find the variety good.,1
Does your job have decent hours?,I can set my own hours.,1
Do you play football on weekends?,I like to relax on the weekends.,0
Are you glad it's Friday?,It doesn't matter to me because I have to work all weekend.,0
Are willing to work  night shifts?,I'd prefer to work in the daytime.,0
Is there anything you absolutely won't eat?,Quite a lot of things,1
Have you any photos of your family now?,I left my phone at home.,0
